category	tool	status	first_official_method	one_liner	note
Dashboards	CoreFreq	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	csysdig	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	damon	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	dashbrew	VERIFIED_ONE_LINER	Go	go install github.com/rasjonell/dashbrew/cmd/dashbrew@latest	
Dashboards	dolphie	VERIFIED_ONE_LINER	PyPI	pip install dolphie	
Dashboards	framework-tool-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	fubar	VERIFIED_ONE_LINER	Cargo	cargo install fubar-cli	
Dashboards	gh-dash	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	Glances	VERIFIED_ONE_LINER	venv + PyPI	cd ~ && python3 -m venv ~/.venv && . ~/.venv/bin/activate && pip install glances	
Dashboards	Goaccess	VERIFIED_ONE_LINER	source tarball	wget https://tar.goaccess.io/goaccess-1.11.tar.gz && tar -xzvf goaccess-1.11.tar.gz && cd goaccess-1.11/ && ./configure --enable-utf8 --enable-geoip=mmdb && make && make install	
Dashboards	gobang	VERIFIED_ONE_LINER	Homebrew	brew install tako8ki/tap/gobang	
Dashboards	gonzo	VERIFIED_ONE_LINER	Go	go install github.com/control-theory/gonzo/cmd/gonzo@latest	
Dashboards	gotop	VERIFIED_ONE_LINER	AUR helper	yay -S gotop-bin	
Dashboards	gping	VERIFIED_ONE_LINER	Homebrew	brew install gping	
Dashboards	Grafterm	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Dashboards	htop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	htui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	hwatch	VERIFIED_ONE_LINER	release tarball	curl -LO https://github.com/blacknon/hwatch/releases/latest/download/hwatch-<VERSION>.<TARGET>.tar.gz && tar xf hwatch-<VERSION>.<TARGET>.tar.gz && sudo install -m 0755 bin/hwatch /usr/local/bin/hwatch	
Dashboards	hwinfo-tui	VERIFIED_ONE_LINER	winget	winget install hwinfo-tui	
Dashboards	ID-Spoofer	VERIFIED_ONE_LINER	release binary via curl	curl -sL https://github.com/NubleX/ID-Spoofer/releases/latest/download/idspoof_linux_amd64 -o idspoof && chmod +x idspoof && sudo mv idspoof /usr/local/bin/	
Dashboards	kaskade	VERIFIED_ONE_LINER	Homebrew	brew install kaskade	
Dashboards	kmon	VERIFIED_ONE_LINER	Cargo	cargo install kmon	
Dashboards	Kyanos	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	lazyslurm	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	ls-horizons	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	macmon	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	nerdlog	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	nethogs	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	netscanner	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	nvtop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	oryx	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	otel-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	Planor	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Dashboards	process-compose	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	psmux	VERIFIED_ONE_LINER	winget	winget install psmux	
Dashboards	psnet	VERIFIED_ONE_LINER	Cargo	cargo install psnet	
Dashboards	pstop	VERIFIED_ONE_LINER	winget	winget install marlocarlo.pstop	
Dashboards	Puffin	VERIFIED_ONE_LINER	Homebrew	brew install siddhantac/puffin/puffin	
Dashboards	Raijin	VERIFIED_ONE_LINER	Cargo	cargo install Raijin	
Dashboards	rustnet	VERIFIED_ONE_LINER	Homebrew	brew install rustnet	
Dashboards	s-tui	VERIFIED_ONE_LINER	PyPI	pip install s-tui --user	
Dashboards	sacha	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	sockttop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	ServerHub	VERIFIED_ONE_LINER	official install script	curl -fsSL https://raw.githubusercontent.com/nickprotop/ServerHub/main/install.sh | bash	
Dashboards	Servonaut	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	sysz	VERIFIED_ONE_LINER	AUR helper	paru -S sysz	
Dashboards	talos linux	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	tdash	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Dashboards	tegratop	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Dashboards	TermUI	VERIFIED_NO_ONE_LINER	library/source	—	No end-user one-line installer in the root docs.
Dashboards	ticker	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	trek	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	trippy	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	ttop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	tufw	VERIFIED_ONE_LINER	Debian package	sudo apt install tufw_0.1.0_linux_amd64.deb	
Dashboards	tuicamp	VERIFIED_ONE_LINER	just	just install	
Dashboards	updo	VERIFIED_ONE_LINER	Homebrew	brew install owloops/tap/updo	
Dashboards	tmd-top	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	wander	VERIFIED_ONE_LINER	Homebrew	brew install robinovitch61/tap/wander	
Dashboards	WTF	VERIFIED_ONE_LINER	Homebrew	brew install wtfutil	
Dashboards	Yozefu	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	zenith	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual binary download.
Development	act3	VERIFIED_ONE_LINER	Homebrew	brew install dhth/tap/act3	
Development	amtui	VERIFIED_ONE_LINER	Homebrew	brew tap pehlicd/tap && brew install amtui	
Development	amux	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	ATAC	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	austin-tui	VERIFIED_ONE_LINER	pipx	pipx install austin-tui	
Development	blinkenlights	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	brows	VERIFIED_ONE_LINER	Homebrew	brew tap rubysolo/tools && brew install brows	
Development	burf	VERIFIED_ONE_LINER	uv	uv tool install burf	
Development	cargo-seek	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	catalyst	VERIFIED_ONE_LINER	Homebrew	brew tap PraveenGongada/tap && brew install catalyst	
Development	cnTUI	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	chiko	VERIFIED_ONE_LINER	Homebrew	brew install felangga/chiko/chiko	
Development	Claude Code Bridge	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	Claude Code Usage Monitor	VERIFIED_ONE_LINER	uv	uv tool install claude-monitor	
Development	Close Mongo Ops Manager	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	codex	VERIFIED_ONE_LINER	npm	npm install -g @openai/codex	Verified against official OpenAI help.
Development	csope	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	CuTE	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual binary download.
Development	crush	VERIFIED_ONE_LINER	Homebrew	brew install charmbracelet/tap/crush	
Development	dbee	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Development	dblab	VERIFIED_ONE_LINER	Homebrew cask	brew install --cask danvergara/tools/dblab	
Development	ddqa	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	ddv	VERIFIED_ONE_LINER	Cargo	cargo install --locked ddv	
Development	delta	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	deputui	VERIFIED_ONE_LINER	source build	make all	
Development	differ	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	euporie	VERIFIED_ONE_LINER	uv	uv tool install euporie	
Development	fast-resume	VERIFIED_ONE_LINER	Homebrew	brew tap angristan/tap && brew install fast-resume	
Development	Feluda	VERIFIED_ONE_LINER	Cargo	cargo install feluda	
Development	Froggit	VERIFIED_ONE_LINER	official install script	curl -s https://raw.githubusercontent.com/thewizardshell/froggit/master/scripts/install.sh | bash	
Development	fx	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	ggc	VERIFIED_ONE_LINER	official install script	curl -sSL https://raw.githubusercontent.com/bmf-san/ggc/main/install.sh | bash	
Development	ghcup	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	gitui	VERIFIED_ONE_LINER	pacman	pacman -S gitui	
Development	gitwig	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	gitv	VERIFIED_ONE_LINER	Homebrew	brew install jayanaxhf/taps/gitv	
Development	git-crecord	VERIFIED_ONE_LINER	setup.py	./setup.py install	
Development	git-scope	VERIFIED_ONE_LINER	Homebrew	brew tap Bharath-code/tap && brew install git-scope	
Development	grv	VERIFIED_ONE_LINER	release binary	wget -O grv https://github.com/rgburke/grv/releases/download/v0.3.2/grv_v0.3.2_linux64 && chmod +x ./grv	
Development	harlequin	VERIFIED_ONE_LINER	uv	curl -LsSf https://astral.sh/uv/install.sh | sh && uv tool install harlequin	
Development	hcom	VERIFIED_ONE_LINER	Homebrew	brew install aannoo/hcom/hcom	
Development	heretek	VERIFIED_ONE_LINER	Cargo	cargo install heretek --locked	
Development	hunk	VERIFIED_ONE_LINER	npm	npm i -g hunkdiff	
Development	jqp	VERIFIED_ONE_LINER	Homebrew	brew install jqp	
Development	kagan	VERIFIED_ONE_LINER	OpenCode plugin	opencode plugin -g @kagan-sh/kagan	
Development	lazygit	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	lazymake	VERIFIED_ONE_LINER	Homebrew	brew install lazymake	
Development	lazysql	VERIFIED_ONE_LINER	Homebrew	brew install lazysql	
Development	lazyjournal	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual binary download.
Development	lean-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	logradar	VERIFIED_ONE_LINER	Cargo/source	cargo install --path .	
Development	LogLens	VERIFIED_ONE_LINER	Homebrew	brew tap Caelrith/loglens && brew install loglens	
Development	logshark	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	mitmproxy	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	models	VERIFIED_ONE_LINER	Homebrew	brew install models	
Development	nap	VERIFIED_ONE_LINER	Go	go install github.com/maaslalani/nap@main	
Development	nodebro	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	opencode	VERIFIED_ONE_LINER	official install script	curl -fsSL https://opencode.ai/install | bash	
Development	opcilloscope	VERIFIED_ONE_LINER	official install script	curl -fsSL https://raw.githubusercontent.com/SquareWaveSystems/opcilloscope/main/install.sh | bash	
Development	Quorum	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	play	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	posting	VERIFIED_ONE_LINER	uv	curl -LsSf https://astral.sh/uv/install.sh | sh && uv tool install --python 3.13 posting	
Development	pproftui	VERIFIED_ONE_LINER	Go	go install github.com/Oloruntobi1/pproftui@latest	
Development	proxymock	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	prs	VERIFIED_ONE_LINER	Homebrew	brew install dhth/tap/prs	
Development	pudb	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	pyautogit	VERIFIED_ONE_LINER	PyPI	pip install pyautogit	
Development	qo	VERIFIED_ONE_LINER	Homebrew	brew install kiki-ki/tap/qo	
Development	qrypad	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Development	rainfrog	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	regex-tui	VERIFIED_ONE_LINER	Go	go install github.com/vitor-mariano/regex-tui@latest	
Development	resterm	VERIFIED_ONE_LINER	Homebrew	brew install resterm	
Development	runme	VERIFIED_ONE_LINER	Homebrew	brew update && brew install runme	
Development	scope	VERIFIED_ONE_LINER	Cargo	cargo install scope-monitor	
Development	sabiql	VERIFIED_ONE_LINER	Homebrew	brew install riii111/sabiql/sabiql	
Development	sls-dev-tools	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	snips.sh	VERIFIED_ONE_LINER	zero-install SSH	ssh snips.sh	
Development	stu	VERIFIED_ONE_LINER	Cargo	cargo install --locked stu	
Development	termdbms	VERIFIED_ONE_LINER	Go	go install github.com/mathaou/termdbms@latest	
Development	terraform-tui	VERIFIED_ONE_LINER	Homebrew	brew install idoavrah/homebrew/tftui	
Development	Toad	VERIFIED_ONE_LINER	official install script	curl -fsSL batrachian.ai/install | sh	
Development	toolui	VERIFIED_ONE_LINER	.NET tool	dotnet tool install ToolUI	
Development	tokui	VERIFIED_NO_ONE_LINER	release binary	—	First official path is precompiled binary/manual download.
Development	Twig	VERIFIED_ONE_LINER	uv	curl -LsSf https://astral.sh/uv/install.sh | sh && uv tool install twg	
Development	serie	VERIFIED_ONE_LINER	Cargo	cargo install --locked serie	
Development	soft-serve	VERIFIED_ONE_LINER	Homebrew	brew install charmbracelet/tap/soft-serve	
Development	sot	VERIFIED_ONE_LINER	official install script	curl -fsSL https://raw.githubusercontent.com/anistark/sot/main/install.sh | bash	
Development	sqlit	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	sq	VERIFIED_ONE_LINER	Go	go install github.com/sheenazien8/sq@latest	
Development	tig	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	turbostream	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	vctui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	violet	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	VT Code	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	Wikit	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Development	ec	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	Argonaut	VERIFIED_ONE_LINER	official install script	curl -sSL https://raw.githubusercontent.com/darksworm/argonaut/main/install.sh | sh	
Docker/LXC/K8s	cruise	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	ctop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	d4s	VERIFIED_ONE_LINER	official install script	curl -fsSL https://d4scli.io/install.sh | sh -s -- ~/.local/bin	
Docker/LXC/K8s	dtop	VERIFIED_ONE_LINER	Homebrew	brew install dtop	
Docker/LXC/K8s	dive	VERIFIED_NO_ONE_LINER	release package/manual	—	First official path is a downloaded distro package.
Docker/LXC/K8s	dockly	VERIFIED_ONE_LINER	npm	npm install -g dockly	
Docker/LXC/K8s	DockMate	VERIFIED_ONE_LINER	Homebrew	brew install shubh-io/tap/dockmate	
Docker/LXC/K8s	docker-dash	VERIFIED_ONE_LINER	Homebrew	brew tap GustavoCaso/tap && brew install docker-dash	
Docker/LXC/K8s	dockup	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	dprs	VERIFIED_ONE_LINER	official install script	curl -fsSL https://get.durableprogramming.com/dprs | sh	
Docker/LXC/K8s	dry	VERIFIED_ONE_LINER	official install script	curl -sSf https://moncho.github.io/dry/dryup.sh | sudo sh && sudo chmod 755 /usr/local/bin/dry	
Docker/LXC/K8s	ducker	VERIFIED_ONE_LINER	Cargo	cargo install --locked ducker	
Docker/LXC/K8s	e1s	VERIFIED_ONE_LINER	CloudShell install script	curl -sL https://raw.githubusercontent.com/keidarcy/e1s-install/master/cloudshell-install.sh | bash	
Docker/LXC/K8s	eks-node-viewer	VERIFIED_ONE_LINER	Homebrew	brew tap aws/tap && brew install eks-node-viewer	
Docker/LXC/K8s	etcd-walker	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	k9s	VERIFIED_NO_ONE_LINER	release tarball	—	First official path is manual release tarball; Homebrew is shown later.
Docker/LXC/K8s	k8s-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	kdash	VERIFIED_ONE_LINER	Homebrew	brew tap kdash-rs/kdash && brew install kdash	
Docker/LXC/K8s	kftui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	ktop	VERIFIED_ONE_LINER	krew	kubectl krew install ktop	
Docker/LXC/K8s	kubetui	VERIFIED_ONE_LINER	Homebrew	brew install kubetui	
Docker/LXC/K8s	lazycontainer	VERIFIED_ONE_LINER	Homebrew	brew install lazycontainer	
Docker/LXC/K8s	lazydocker	VERIFIED_ONE_LINER	Homebrew	brew install jesseduffield/lazydocker/lazydocker	
Docker/LXC/K8s	lazytrivy	VERIFIED_ONE_LINER	Homebrew cask	brew tap owenrumney/tools && brew install --cask lazytrivy	
Docker/LXC/K8s	oxker	VERIFIED_ONE_LINER	Cargo	cargo install oxker	
Docker/LXC/K8s	Pocker	VERIFIED_ONE_LINER	pipx	pipx install pocker-tui	
Docker/LXC/K8s	Podman-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Docker/LXC/K8s	sen	VERIFIED_ONE_LINER	PyPI + dependency	pip3 install git+https://github.com/pazz/urwidtrees.git@9142c59d3e41421ff6230708d08b6a134e0a8eed#egg=urwidtrees-1.0.3.dev && pip3 install sen	
Docker/LXC/K8s	SwarmCLI	VERIFIED_ONE_LINER	Homebrew	brew tap eldara-tech/tap && brew install swarmcli	
Docker/LXC/K8s	talos-pilot	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	amp	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	C-Edit	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	Durdraw	VERIFIED_ONE_LINER	source + pip	git clone https://github.com/cmang/durdraw.git && cd durdraw && python3 -m pip install --upgrade .	
Editors	Edit	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	flow-control	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	Fresh	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	helix	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	hexed	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	frogmouth	VERIFIED_ONE_LINER	pipx	pipx install frogmouth	
Editors	kakoune	VERIFIED_ONE_LINER	source build	make install	
Editors	kilo	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	maki	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	markln	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	micro	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	microNeo	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	nino	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	orbiton	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	slap	VERIFIED_ONE_LINER	official install script	curl -sL https://raw.githubusercontent.com/slap-editor/slap/master/install.sh | sh	
Editors	tilde	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	thymus	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	treemd	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	turbo	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Editors	vis	VERIFIED_ONE_LINER	source build	./configure && make && sudo make install	
Editors	zee	VERIFIED_ONE_LINER	Cargo	cargo install --locked zee	
Editors	PNANA	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
File Managers	adbtuifm	VERIFIED_ONE_LINER	Go	go get -u github.com/darkhz/adbtuifm	
File Managers	broot	VERIFIED_NO_ONE_LINER	delegated official install guide	—	Root README delegates installation to official docs.
File Managers	deletor	VERIFIED_ONE_LINER	Go	go install github.com/pashkov256/deletor@latest	
File Managers	far2l	VERIFIED_NO_ONE_LINER	platform/source build	—	No single first one-line install command in root README.
File Managers	fml	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
File Managers	fyzenor	VERIFIED_ONE_LINER	official install script	curl -fsSL https://raw.githubusercontent.com/Bimbok/fyzenor/main/install.sh | bash -s -- --stable	
File Managers	goful	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
File Managers	lf	VERIFIED_ONE_LINER	Go	"env CGO_ENABLED=0 go install -trimpath -ldflags=""-s -w"" github.com/gokcehan/lf@latest"	
File Managers	mc	VERIFIED_NO_ONE_LINER	delegated INSTALL file	—	Root README delegates installation to INSTALL.
